inputName,size,available[size],allocated[size][size],max[size][size]
values_79,4,"{1816707537055140444, 7038286922119293054, 9008146303045712965, 6701970591320607331","[[3437490070463674233, 6183191422268143484, 7839393092485395057, 7149471826389441704],[6822505841818701759, 5940733851365685640, 583010793960811069, 8756514512853281036],[8860399535153428518, 9085679915337990477, 858659809790064073, 4574527155761138162],[4522986130115006439, 795380018063390270, 3251127311968703833, 6023045326948988587]]","[[3766653949720096191, 6014211013307990345, 464562994769619319, 2785686069250696887],[8261953946900206998, 3435151537481803363, 7585702167617450127, 5135907931992772873],[3946950451800356504, 1621357948525469604, 6529850591101471769, 5594896183452891648],[701988528556648276, 744369873175588368, 4616665953468466365, 8072724334204856944]]"
values_78,8,"{6629120383712203860, 8109132039174155904, 2420327148177923141, 3046861951372881279, 7668869346272657763, 21658220534807788, 1154368169858232449, 5229184652614509466","[[5100633801742113030, 627116836916839328, 4009418011192774531, 8537547736700672847, 7291360552211334275, 3861955026881558364, 227292975217418799, 3047861155635316727],[728262848945379880, 1303505594514550570, 21560479887991089, 6869030361361190126, 4494990597857919554, 1567969617772361847, 4826853887251767402, 4970372625591118689],[2525254054394871786, 5413701381510829917, 573423257125484015, 5951227801193127399, 3374378918340801788, 5406576506873941854, 9215849359099465436, 1827525088606769275],[541788540254334899, 3727817303096236090, 7771893747859142653, 1949623832711292972, 7127973859567782363, 7847237357653782476, 1142128439041803304, 7007227221322813385],[7601123451472439044, 7503946794813849837, 320607178635427829, 1996774658488120502, 7058670933985080127, 590594566681680853, 2756917299075923848, 5084160338821558657],[1046369556716806726, 3791036768676581147, 6922932177870439475, 6764377066318009215, 1328349898442561986, 8203071566617564112, 6679118088682913067, 5898541350712803851],[603571378302885956, 835572968650170675, 5211956734467198700, 7981209828215121405, 1231952039622837179, 8161171222979503921, 1983377299838040868, 499589318530764101],[1069589023783367884, 4050423212238232691, 4777935636149665541, 1087867224504288730, 3968404196496586462, 7349882261112140519, 2274347035116616177, 4136844924925462217]]","[[5501408397386540521, 3357547731478065104, 5980853329586761387, 2513267941074937514, 2589101219002293418, 94405164784487151, 6778110490908418422, 4379957791002501123],[3202688786277645019, 4413422956675978912, 6817496230289619706, 4721906461949394920, 4431919090570814753, 497320102264840495, 2993381226679538986, 8960000665148058145],[3863628267909515784, 6328236950066699073, 3552828932887108598, 2455865816019341701, 1515919959909137835, 3809991052769761990, 7124353925739613084, 6722618670642238058],[728120468827121049, 915244861338541412, 1673235188303284403, 8785068853516580363, 9124742299976922047, 2335386562177485257, 949306227461998570, 1136486199207683616],[4622066771691208076, 138664158990177376, 3168475572097354844, 6108552218336931203, 8702120333258846537, 334718306405225504, 9010973856102282165, 7786486022018691534],[4163707163674318466, 6892535214025621067, 7208768296139342948, 8352046417279679321, 1740700158271454854, 9024571994598194265, 4782744043308913190, 4932683836728226479],[7907772694904022463, 7348570892429841560, 4035426090642919096, 34244625256591217, 6923913146556215166, 667659582583151778, 743986940334834370, 6353211010185381784],[1898172413402602999, 6606073721560814565, 8378260410495376357, 659775740731197593, 6522682557155723064, 2759448411443244780, 4416523939054521664, 6119981115329833312]]"
values_87,2,"{5845940710909412456, 4072442617793181782","[[2533783658302838843, 608365205396933936],[3215329777581137820, 142898017021953793]]","[[6615852869590223054, 2853808226672653500],[1885919774008894176, 7475389192140225476]]"
values_6,8,"{5254112759412241020, 8454112642872533219, 8001393818067160441, 3198922853030497725, 178983907046483074, 3576751796584170945, 1798519861978116049, 3450451019540728022","[[7445280919097926457, 1609938301668152908, 4498622210068803296, 4211079040250005213, 1356540709444126490, 6522468261981617927, 7751284604031940643, 8964014723433826943],[3353839337152695428, 1297501308355385173, 9007206473804780026, 6832985002756135910, 6213929606672826452, 1380628981483907258, 7168077172167643144, 3459916667992816120],[8261939277771291001, 2413927603917940468, 1468701094981145292, 4791183646540934753, 7646923383524293011, 6369654291597360638, 2321947305362848101, 700269892210506192],[1222476011826829926, 8802731398834474355, 6374490274682929538, 6606937973760840965, 4693365439108609911, 3906182061187437085, 5707469903085853677, 3690853070226288479],[3687146401370968623, 7958018583147703456, 4163574335439516309, 4765759292573613259, 4640790119985208120, 3880316252988744911, 8640831167974656360, 4680581751908257222],[2952083758081218229, 648706395193065240, 9116523546958008422, 739439684205055197, 5371242405632332105, 5550685013415432509, 1262186468833400598, 6357204886366910145],[3429912547439639676, 6402943681330306194, 7340221899046109722, 6226493782476822808, 8183357914584132002, 7493999061525540314, 1588654954923608858, 6676811167114596136],[8951492071571476010, 2406200922631485944, 5736221104038225609, 4572115820056739822, 6584947644435136793, 1808305512719967900, 2724405022050947887, 3720222595654698688]]","[[7403760197988885704, 12582646555925712, 2018297553483751642, 3176858084373097831, 8302026257073505820, 2492280032963696524, 7152679767785862439, 4640300025468887835],[4579264429689635933, 7120515578714222118, 8081866808202494540, 1412117166318841316, 8506174984701035641, 4936093887128597204, 2081541945010389974, 1998890857965652502],[2222383513539054622, 5328468953502405315, 3929525410914229468, 3588943864758180435, 6672682898634898278, 3830672350639085237, 3294911349223727122, 7006432264671635137],[2990846411645742357, 2394866657940945565, 484938939524495982, 8345622495919974659, 134135811059079757, 3340079543996116167, 8419377530032530933, 4658733673954997192],[1115654725739673233, 72221783050388568, 1973183252578249577, 7318834669100685378, 8592788689038396551, 8762005740716191021, 4884611493312911531, 5905147649049764719],[5064931847748214576, 5554710573813060113, 1101182067019441833, 2392525608908513505, 1921123229345120629, 3330867007814045268, 4357894418121472601, 948500994313303411],[6737770224294746349, 1773611812752329198, 7240876022969929742, 4586535497858811085, 7048363235798956050, 353882919647124513, 8478392008197718829, 7591832147238884611],[814500303809647022, 6131215777886370031, 6375600097830127984, 8487180615914909668, 1708553887045051071, 3263914447310696241, 4393610645201876055, 5687076706459142946]]"
values_68,7,"{4936648797179979001, 1107677483658671506, 6413897537404022453, 9012925349649694848, 2627597604156293094, 8848080958109668809, 4707578153753498416","[[6244963497368950124, 8890424628509929401, 2095133774790876846, 604939030394406062, 4381816171635313317, 1767173449401651036, 3743974011853848949],[6383114231903352101, 216810722250001831, 7303768404209320154, 8275863889313499738, 6187479236760540101, 1889126113501027251, 9159514845124737032],[418859787144477438, 5155761448248839969, 3070386717856553905, 4730847048687121601, 6771495797204221156, 1432163414646126043, 7368652260564626660],[8343978270263782041, 1118937157939133117, 2789639553900188324, 4531438018497535890, 4703760461346085511, 7104973814941134937, 5243547047241642782],[6906083706828852447, 5627349992706858605, 7423080607000019315, 3397896782094383416, 6848145263470906595, 4117573481433345022, 6845514529025458881],[8798429794637200322, 8286697294060100553, 3002063329174300186, 8402209018564127676, 6606184222606816520, 1094943677778954917, 6326471000221206886],[3126240336135063127, 1165938904306558152, 8022192662973808720, 7390160893585630405, 1677096384302968951, 7555448624761408536, 6351035137011798155]]","[[2015251848554080420, 7923247489209920613, 7437973838370787256, 6728307200291020875, 1443512142678510263, 1391575654475295755, 8652610398868159479],[3933296675408485562, 6081728222099429663, 639289484533824786, 3844973044843546419, 1313976975932194291, 7529568982664581308, 8092988745286992004],[8169595841686788974, 7986816549377189810, 34385079085735575, 1349216387360989071, 2018856204006874399, 5288726707070828834, 9069625709968525428],[1489147020900624700, 8328737826061441040, 5412494571368421904, 2105156121039959289, 1465387926540482722, 609822435345844968, 8757778731042092951],[6005335000935918304, 2965352746280495906, 8841899545942868845, 3470571955594621342, 1345814179514932333, 4971703776412962824, 1123567129573713472],[5738143483069259969, 2701647192857828536, 8043070828638374835, 7816481624357163074, 5054008914569353526, 8166989337385879678, 4018052202759475349],[3909968624446610304, 7432676419003646479, 2007053180574789660, 5971794149709307116, 4249048827010681877, 8114712825771519639, 5151143155815535591]]"
values_69,3,"{7200509959566830836, 3366383676290805692, 6654077672153363595","[[7546924688475791428, 843997136910731556, 3443746145817694135],[3115766845427635402, 3369114445822983973, 17103927366913358],[7419373945422742664, 5387557742654772097, 3606106358056674776]]","[[2599106596494635704, 4166701875927254475, 8300025845815585612],[3817240258087794303, 2153499665975572928, 4057510860953378862],[2897001333406900176, 4905314715468933344, 6398714615456209602]]"
values_1,6,"{5716647620111185569, 416842003246977141, 1285425698775441746, 8615761039846929443, 6494957445872650047, 1528979561634519275","[[3765358076117142869, 8710584036144356053, 557811539913057068, 4293336808249976448, 6994585973701698060, 5509374263148083133],[728212874294139449, 1670853619458246373, 3143061985804962114, 8301761907394989681, 4942467926350266628, 394076267969523344],[3119917098763434844, 6310604389738238074, 1224611436257132423, 3277018248401866808, 4747721489603239542, 8649999630695276276],[5953724438354311415, 2991761059721623042, 4571130212115953792, 440229108188562521, 2810701708429355944, 6735563569066049787],[6213036135456101200, 625840534220021054, 1321038597179343572, 8192183074386054622, 7641144452638518784, 3964725259281614092],[346063077705746476, 1941253988947222242, 8865068877339592390, 217513594358775179, 5918555685217860129, 2766420169002329426]]","[[929806532222190714, 2162323363089073898, 8180672644681921180, 6016038980427963603, 992100095377732068, 4913616610633087108],[7719841567075776606, 7671351289048146418, 6739123089779208394, 5720915072653159239, 6291625809435581176, 9117387060588675732],[1410830557025298355, 281470160509571752, 4466338317552852652, 189921839843815526, 3750614980020639968, 6894055223975250005],[4914547613747199818, 8101858725162597938, 2575850960294081623, 275835129655090108, 538362829192364466, 7211805695101172858],[6372959999631370381, 8584193162133875295, 1283520965954927940, 1778183267082549303, 6573959929380670606, 4972588829774306705],[9153531026689596811, 7946889350817757389, 7818714208523146194, 4214810788968012949, 6125182930936574667, 8307109418669241826]]"
values_45,5,"{6635344158820636285, 150401333462471706, 8692890779634107970, 1373639423481717458, 8989020799676449959","[[7431105901346808819, 2457819110521861393, 4332082330733336702, 6200110796790771336, 4597524129754027770],[8803412533512969645, 653010690564292849, 5984387714518078637, 5352846613121680817, 1538313365565294948],[1932788634641307416, 6251256098111592326, 1305269921306510541, 6202485584379632847, 3145106773443523486],[8400555576986736509, 3124910123625529518, 4271103348789860748, 6641213137548454498, 8200775986313663158],[7572820996652135443, 3375002976295429502, 2913772860713044041, 188681167535049444, 8653261970813004599]]","[[3971177642585673939, 4039847546274115716, 7747249869812993501, 4007948675607111464, 3801300838619731663],[925978569787744539, 425782609833999919, 6328241873583528580, 7553093264733827305, 937486584888044902],[4783460366591414491, 8737871182844951800, 5507883729702873488, 8096100289819984551, 7038680785342523597],[1206265196412365516, 8662956409829608863, 2692164643636176948, 6861079674948634042, 4525014465366490791],[5530742983223611695, 2345617865394587783, 5601099753990815956, 364573471958283640, 471558323576171320]]"
values_33,7,"{5636567691621434973, 1199009537038882347, 3559237530430007389, 7862538925382748975, 1525379411286230245, 1578395087928344300, 8088141830256809566","[[1809898671027087858, 6828653109121261524, 4817348954447519501, 2993340080460219589, 7793861817675269773, 6610376957437988197, 6501601691755939649],[4845891119513891969, 7058865394076450501, 702572033109547282, 1932780867336464626, 8092528359439133972, 5143285964935798119, 5564451646109006030],[2403853876328165161, 7943586626544404241, 3551394250697346206, 7340635353808971104, 7516493592180132083, 5328703289894314092, 7834774838508927409],[3122394871839042029, 7828148381955757410, 6451012026724989336, 4681382499670921675, 5836824576158140888, 9166428744895126025, 3551844635571302776],[2564673739090749110, 1709581967232158986, 6439114202064103667, 7106704847805701909, 1337275647196049525, 5689354813657413482, 3356172414229977920],[7203974529483033093, 7699681263670531820, 6914804135769111004, 1888033319218747059, 2524838652953184500, 8315397945843425230, 1323749144740743972],[5308112047082610067, 8898645461045683249, 2281012699250909021, 1467612796723126848, 6070123464215402241, 2693048066842797638, 7715847121816249847]]","[[7348996287413407460, 3745598469989003638, 7216009715882258363, 4539516289387761012, 2365788032417316601, 8641621711899400608, 3411263372609895891],[5434215719166572809, 4486589035720915775, 2207310955598850855, 5378460131446425065, 6011421949967178933, 3234462900483612710, 4939273384110772325],[3330668884608779297, 7347245558333622630, 8062090149477535471, 724700696194998403, 5692413857957766866, 675580155045386683, 5119863630468785671],[3122848631977236388, 8912197804099327129, 2343742303758554746, 8544220128591493365, 1238892661228362034, 5180756545138398953, 3850980618142658696],[8535531931364300549, 5185414516496709581, 6010358516529159464, 1169058209072236727, 3744997057107836013, 875665468711130860, 444635557067607937],[3903788491547163898, 2416687222735470778, 1199947550723971138, 8972872682912326692, 5831762640452897452, 6915629488327501690, 4858120698927526295],[7073079908472642095, 3649043070874419383, 6662469977021050402, 7523233134250445180, 6440954926810770873, 1257043810483261290, 2937210292748296124]]"
values_15,4,"{1951514216714530639, 7917894702420931283, 8096325461124415862, 181418561140223957","[[7843219228905331974, 6861791685972920772, 5510200776980395115, 7477969996258746294],[1257020709111047295, 5958437782280835946, 536187697226881464, 4605940867704487966],[454688086295178465, 1178691350908543386, 8896718285192164271, 7930066391745624533],[7775246093280687359, 4674057538783477793, 5495546396445379753, 3496558725276379519]]","[[8246341143154081102, 2910627790976551714, 1025838118792165916, 2941139347672590517],[1309017116525259567, 1644082855920185799, 5531821635900012628, 7728290775034489848],[810569087632072972, 7139429564991788857, 7196961899201905252, 2241883603971238648],[3436129312330710977, 6893066545579378021, 7288498746242405389, 1258157287720225990]]"
values_93,3,"{5107553787707491613, 2110029530493364582, 554992790403340189","[[5687914274680282472, 8226187908635509756, 2282999148538476089],[5826018381392843243, 8726373304797395404, 6817510984972253472],[2175263973855850394, 94505233643365170, 3985176595874756758]]","[[4042319296264564368, 8459914975871794506, 195003521006711838],[5582277447480731903, 3563095152923218155, 6383233098155659892],[5873486237156584757, 2330376905135831626, 6771217162198005218]]"
values_24,6,"{3883524852155126537, 4535907050587683541, 5924037779846180858, 564209480197318938, 7690501336827692577, 6364283008915738196","[[1874898604099524856, 1533890297672259153, 2096989888799913799, 6114835751624390816, 7908483508153440208, 4092663302392998820],[8974017589823848112, 1216827751684969801, 4795020886954081897, 7487359847454678235, 7632580799951863318, 7696033109900738902],[43153414617710572, 6824072520565900685, 3580457666891561446, 8985011030103188563, 9141490703373583706, 4849132723377149069],[7098298702928018111, 6212425094129163332, 8670842233414263490, 5783930593276873248, 5798112914258610091, 4342714328673892977],[3499674677548558969, 9204831182338957385, 4304127532592688520, 3798778179215156032, 1834239590995842494, 8508327179711266064],[7597581697788587844, 7884062468627568494, 8109125703724901687, 5085079126855733171, 7652635548728950312, 4829291441864693116]]","[[7300965367677178150, 7487273654718588434, 501615814787438877, 1939112915551860948, 8851879588656647211, 6194433827563249566],[8593319727060922824, 7855366166645343055, 3771082852101094674, 6861995537426525675, 6501945584224556431, 7143408085344635767],[503375479883120573, 4349193189411437280, 2044816880356464253, 9018184003075042553, 5699719846473372695, 7564264210045312202],[5387203055863539525, 876487641765067, 3304763687610960605, 352242880421436408, 4940309802528149836, 4071836880779901802],[8397703388497370576, 7636539357863773375, 3053536332477027264, 294632272116306222, 1496646496077423854, 1754825454550672195],[1536266005762235868, 7285931843777867289, 212679193919103615, 1074750195793323348, 2014119775502572241, 3541023108885401607]]"
values_25,4,"{2014865296538280877, 219571709112929407, 5777738963787069479, 2421458460125641456","[[6599278379475365631, 2862807244764191912, 3041686260756640414, 4676638196615250070],[1051998125251969614, 4811052469074834489, 8445208032299754971, 3958550008480054510],[8095844965036051039, 8561102612307222412, 4013673536700625492, 7127810225995322289],[8178974201016437462, 4884935150074129942, 360442665991644056, 6368751473246238111]]","[[7530699315010578546, 3149231495301472726, 5980235897733404118, 4581896207728627912],[4273966086729287486, 8956225973643463665, 7273699871704341571, 6337981464968486944],[5357346053388089586, 1735818422654995016, 8672034945886644739, 1000131715197097240],[8130909369144480390, 6845628248440722668, 8695741156078419890, 6770175096391850345]]"
values_26,8,"{4315435147696281787, 2322711096690720334, 1353690622825078420, 4008633962642114923, 6200046554106770690, 8589670862320648393, 332303130824739498, 7695486554047146061","[[7256919993070973313, 4300178184979728560, 8171283044771597823, 7000836195951561291, 4040687823796513885, 8444041984766192541, 1811376235232406907, 2770274697142241948],[6903164732718301678, 6150636968966998463, 3103042057752392610, 9221681960515823225, 610301814624483825, 4431979236632473225, 2659334192808996501, 8031965270856207185],[4694637003245275714, 4031380882391856330, 5731545388272651423, 6295641303897071791, 6471170635756406655, 174003927659132576, 2334474916267431324, 6586605080988572548],[4546699190007358464, 2729032415177924402, 8124177456286885350, 3879049253247643814, 6452436621219922937, 1968796584693239808, 2652344349388204114, 2849037189316542094],[385272686369797532, 1571314018710081925, 3150967471206802148, 5635451695966914087, 8757399147417648906, 2205369710803841082, 2069443315280827083, 6045707031736575000],[1287884960901450222, 4375336402604655328, 4893852274866835413, 7026993584166969355, 5729954607043121697, 9208633632017470883, 984219972895800886, 8037865394074607917],[7529671826789032677, 7812043999067728474, 8268964060970171453, 335967555782434905, 1175604014686350893, 55435568490862718, 5833778010011772885, 5694794342807818897],[8659520651596622040, 5657270196618984875, 9178456865921584117, 7390684780805986855, 4983296062730809856, 8422421926244713581, 6492793065151250377, 5696671603244111967]]","[[2341774972577395445, 3906198835452797194, 8076929480547714992, 2374974261761306069, 4310475947239057847, 5867873986030232783, 7785008507043345526, 3139669022240490538],[2797312646637974926, 4632089816557449852, 2416903407608043657, 5356368222673254213, 4951481971264215733, 8454450324293944796, 4830113482514836397, 1430179066484804266],[5750814718850796384, 7687024426711403268, 7978610759004862301, 3001825259634392532, 8143098397621782389, 6700380717557726218, 5443856715054561540, 2058493881183955401],[7463475029887492980, 517803942371498175, 6872451317016457619, 3382405550607214730, 3514676224245614275, 3128012689068029134, 5794478341377036713, 8064077158831494079],[1315619379578003047, 6393760145020405269, 6366295866291665419, 404560333108967400, 2562072150940413933, 7802090959716654645, 1601329656171221005, 6228451481167332688],[7969383484964974554, 5554434877354500166, 7947285292913732283, 6073282470802687546, 5200593922025350053, 7980438576855185952, 8729528336758354556, 2175700391344588954],[1410548119646296366, 1199473163825883210, 1774467981315878309, 6159185080971663898, 3065052961036031891, 8674708594699948904, 3356842537023909342, 268367394920085934],[8375211119505094973, 5938825140025999015, 8787857353757269497, 8049562639820687135, 7006771402592301176, 1135322091229115264, 6715126158297348533, 6454332447590513296]]"
values_48,6,"{1388718536592534183, 4373420388570539953, 4652464210114853465, 3276694498073260013, 5911712584888228663, 3766228912341697200","[[7909179301128169736, 3004092051953718816, 3283781040553640632, 7423142161888130937, 1051343237272612384, 7768154552652426007],[6912572664412169316, 4736382432053379285, 4242924879709192810, 2645341717494876868, 917231486241803051, 4706704807585500070],[8793819560409034287, 5840463233047342409, 364274296529481654, 1508299065069400328, 5645705254435033632, 8522729566218437291],[6075612630815100599, 1517998921442438678, 8646475246260560062, 1914517833787416794, 8188002644355513169, 8461875596493380770],[8819351873935683757, 4900727055208856477, 7343868017915154115, 2356889205029693621, 6944718081330704428, 637656352658456933],[7263816532620252633, 745360250709566681, 5168905536233886306, 8468955622069721550, 978017498512348081, 1013089003564481094]]","[[2309118034964844988, 3023952000088834665, 6004250481354045137, 564461468705681695, 2392830755361528281, 6628874344761956954],[6176324532805026843, 5539548910890891584, 728705197082019852, 2428458885342281723, 3588783328775250384, 2409514026963515834],[5619995226306658047, 2793401263212143386, 6941813148216077823, 1563224982912533395, 7657661890620307410, 2618178361731341534],[5564956452613953719, 2400763446547221164, 2795608088662462098, 1579238874065959802, 3644025431104233246, 3176550398270701819],[4635017352698158022, 8034375337193928891, 5159591280112880048, 6820556331154864035, 455508801794090253, 8663003762942243062],[3096752980520617698, 393151789346604007, 389902183145681610, 460151049467068129, 962012040488686686, 6658788020565506761]]"
