inputName,size,available[size],allocated[size][size],max[size][size]
values_79,3,"{5502477552200634278, 327800369543862671, 6981849406302264586","[[4029480011204537035, 6539484601731112611, 2239846650691751379],[8992991307221478842, 6234915336609504391, 5936150965391000969],[2528234203232301787, 2371237968357867790, 7712627411273909680]]","[[8791884803327012848, 3302519528843334600, 7121176003589541739],[3416909504547038491, 7036898487402343951, 798375306104300558],[1148459756179862826, 5194316788955159287, 5511751866220241832]]"
values_78,8,"{8513340052361133429, 2498879488174260305, 2595309843606935412, 3207183951199818911, 3314446201656397515, 48406674479888452, 4673721264459921677, 3978482283647207478","[[6861575038841588679, 4931818409984241442, 4892829301231071364, 8564433683463064335, 3322092328550640636, 8293720700390676176, 8055681045102101540, 5548104911091607822],[3942807943179430250, 5008379496649226684, 2359716028828848744, 4938792714553878169, 5769752685174651083, 7644610685752307016, 4258413876812585824, 5338875027166951776],[662686474541427520, 781741167114803737, 886038582059918463, 4401361744397274722, 5845501390992759579, 1094227518608188217, 9004915066099924235, 6671145296584153993],[3591213300826154520, 3166158469763673997, 3193979258445128259, 7977415793545650640, 1716009501262066716, 4298138911245120137, 4656207413776982397, 1666500921793309216],[8469246074671152503, 6752405477776195689, 4451467285780047834, 3251348282029557331, 2784457612801691313, 5782615690493024172, 8788593767814696642, 8199383985673143854],[3064055605392790372, 1336702826389649085, 3912565271175274508, 7144350949686271093, 1688192300348256324, 1144549988007223436, 6946488328441754501, 6817708763628905492],[6283462662216748152, 8719747913620351853, 2678472946306285529, 5465067803882481001, 15204821136350250, 5065215131158736071, 1094150032200495803, 4202974871400261154],[5161696149785517685, 2935151794407871540, 6082185979136229089, 918244860641927845, 167578626195093925, 5387568272932337513, 4175504565278869657, 890279528459404625]]","[[3298046835678707673, 6213805869938115309, 3206572507691211964, 1446464118266372011, 8994937881723602036, 4003695943816703607, 3450479091413016872, 7801303221730673302],[6507582307910404846, 7080065522315033476, 8334590365507153517, 200253690877988725, 1544024212706798468, 1392433167616636093, 5383513677347789004, 1145265024012705147],[8621987186916100032, 7495630261838390185, 2520645290024965439, 4106897459895104302, 2346670457718525247, 8124374050702084505, 2484053095487676645, 948132036603522318],[7107589909548344883, 7913213453959551315, 1642274557652827993, 1917148064489116548, 1162430546975839481, 2095126570699717333, 6867441554409972420, 4352592313316440687],[8030431350055146819, 6011261877320379945, 3200009967071276975, 3425585702926523305, 9209128900596479020, 4149823614560827624, 5430181523715145163, 5022121251172629923],[4012630644998394597, 4075717852439820427, 4160425912990449969, 4033478833612148652, 3646770930390196569, 5923448000448797535, 4752169364288999781, 7540385165473613092],[5602368967337278655, 1766900490980001820, 463933579080628176, 3469784039661805000, 8729638215594674279, 4373707591254894404, 2045886153377054980, 5964237965751341566],[5230072161998380461, 1431790484597430481, 3672952440270102159, 5807724282003800654, 7265707821164024997, 5590153880261015205, 3791176061172191751, 4248221835072040568]]"
values_87,4,"{4926811935698179242, 5582403508826106161, 6965244045519169722, 4563737412381427488","[[9024930223698404230, 2139844986686485668, 4559379335076254462, 3127798662445658946],[446897786573006543, 7508537174822354857, 225652991255555616, 2562425707768785179],[3773344822617532703, 9098297322396384171, 6856854205809457494, 1087039238540201309],[6421215959725168163, 1134618577704103318, 2929888365843396234, 4805001189945785793]]","[[395576898900521300, 1033674457589675913, 8202229549148961024, 899959895570605795],[1227382976904942032, 1422138593370639637, 1374057303714151804, 8146746502772511055],[490744836108921938, 5054797809050106560, 7676178281288539085, 3338616462222860854],[7176079938280663693, 7178857609817685112, 7463639031057887928, 8897739465506011793]]"
values_6,2,"{2412185808894431795, 5599961581009849495","[[5242263781842632858, 4388341711147433600],[7612592137490810614, 701987443508322943]]","[[6538870741702075076, 1750020267304757304],[1260827403833434384, 5770646327941193372]]"
values_68,7,"{4370995786706940469, 8877195809678337240, 4677701519272514941, 5439149229490177205, 1364944814541998303, 126390880793595741, 6181216222246151903","[[7162464856326624860, 315047664902686501, 4707610388239322640, 3768802274733995298, 5685891760477951977, 6687277313960429785, 8417478486205172142],[3810047001660549430, 787415263460845217, 2438425130583478838, 3975602327520743097, 287941570727169108, 228459113006492424, 5723144894062872841],[7983916355874211104, 4440262357205988203, 7009841104417625347, 6371130700956237820, 1752772569179099326, 3604331272504483400, 6342919803334898464],[6532821715297167724, 7393794989419539903, 6930519167569869488, 5099023008223647479, 8296870280349599842, 2770493903625286727, 8927534680845982079],[409504037916337051, 6160296253127946414, 1520787269710724072, 7665024300280032944, 7945553987806873100, 6728130141782247176, 1268989209455154748],[3822053111876046824, 6572252104460621096, 8880123622187370663, 7216122546572039692, 431450703512566247, 5294194832137713406, 4846365237301619295],[6432406944344549707, 936636929147850274, 7952509428900921180, 2285817166447625498, 1236569197943850438, 7348295968338972763, 3524840573741899929]]","[[5513927180990375980, 5339641486793897344, 6017644666861258397, 688612077405847721, 8014659946812827836, 461962136853458027, 8886003622420343354],[5743958448734257435, 1895548787681153282, 6637643532237380489, 5399065177931968203, 7821459451442119786, 2946587624439310865, 4556298641410865715],[4767597121386023967, 3414233916087128845, 8339407021573330463, 5931340436434428166, 2997166739886155306, 4874845548812919420, 5850770765007799846],[341883355750571660, 2016602409664717884, 7023254665548871143, 2110885313582850122, 8648132208918444161, 4231239378624520123, 1355674943949734153],[1586852476497925625, 6138829625372887020, 5286808550334464593, 138079597046595898, 6590784262441825809, 7838589252293697325, 35388878180635824],[1504886346900439628, 6398569209966383815, 4360462330800858033, 1803022143139991901, 3474358138704597553, 3313426149161419129, 4737773428427700714],[3107486014905896858, 8564884481995712995, 796668423012290450, 1472811327986950139, 8281712344615534076, 4944611025068089744, 887059063515295914]]"
values_69,4,"{34166177151572922, 5216188690650115072, 6558068591189244828, 3050843636712525934","[[2994218877600359817, 4454805286491499462, 3885272947016028783, 4819355893427311384],[1906630299189222183, 133398487439798602, 8533981390408512351, 3490573510472345238],[119035101182801694, 4064957077098598092, 1525835015174204119, 5921822941449761792],[9083723865993979178, 2641341059149410997, 1324594001121064363, 5294613399391382803]]","[[2225910824297351051, 7401262023738513486, 4341761203605229374, 27990659273971600],[712739445369504418, 972503663931347276, 3695487035896915915, 6108532044657218396],[1368266450797714396, 5027566152534842367, 4684310060623592329, 4537621292579779835],[7290742466580487797, 6866651102778697006, 3428645837738367594, 1438976330626617242]]"
values_1,5,"{396185500987382192, 864114343620139887, 9065388297173347997, 8814087213188056062, 2148077199203161852","[[3115999666881619047, 5940826587853555378, 6134146102475712182, 5489039929709782526, 6958020021705958815],[331407482694191965, 7115745863456727089, 8335896685458786294, 8503504920946084743, 6619631950043287824],[8649421641634252620, 3883802191866825540, 4361797409828189264, 5723128096767847496, 997720763402697167],[3985531173822093072, 861284327714938305, 8278953340588285183, 7186038950825665610, 4670914780796127506],[5910332487790373331, 3576605003471360485, 4316633244842314307, 4533672330887297339, 5316082471134931923]]","[[7206142884768892520, 4954220398993949807, 6959827948803692214, 7103228081188614423, 8420612162379676731],[278110287128928005, 1824624723429324866, 3492476270768209666, 5553896102398880530, 4500763049474432948],[5882199722400156073, 3977290153002699565, 1670621402051307985, 6340336579337567320, 8341045506560303265],[986202337211162630, 9131366913196222829, 5405870713570335193, 2339974996385853347, 5851165897810398571],[6802231830534769637, 1402638578875745185, 3535200244827841571, 6065433641116284343, 7371102627368599001]]"
values_45,6,"{4506609161162331488, 4669342984154330983, 1529595795930794859, 6774599440351501090, 438254850684848290, 2969024019955170182","[[4981880752935236974, 740647777489625963, 7583356023042447155, 3371251875083649035, 6245674154003508357, 4142141433706816567],[1621819249193475005, 9023559033026705677, 1765319683289093974, 3025244426542416843, 3740506550855847621, 3933367968785405792],[1104542338658174099, 8653533161230591069, 3363496050762660745, 3253420939546426986, 8361562005965640695, 531758817389988156],[1265035161679287120, 1617536721742185146, 6967611134471927522, 6461486984488504615, 4969434026640658656, 895873446473211347],[1411966728321827571, 8054774268286618175, 1143993687893579364, 6729845989559467638, 2866110938703614629, 4577454041416126936],[31270642653403776, 765786703828193358, 6751036724359093663, 1674690520471943998, 8415557685291352175, 1869490533858464735]]","[[7860920566540063501, 5069971678068755227, 6814897857533812386, 4743271282995289905, 9106693428909445621, 7449135503413320938],[8976454357174124074, 6779180313167657866, 4383141627110794655, 9055377012586571561, 3984508253897911372, 8950594381225897733],[5322740700392526526, 2763743507970975462, 3933309217408363442, 6980009784344279984, 3761834797482552656, 8753496811688176041],[4519477778259675031, 1221076440576691837, 2007041970973231596, 53629039746210729, 3628157394117231298, 4835820074522678426],[455426108408813018, 5071392622156193221, 8047087094244533905, 4514504099365596263, 6473090464110239270, 1183231580639390774],[867823442300608585, 6835395419775310736, 6560394184157696904, 2910601880868100403, 5106436782954457636, 2041430228976280790]]"
values_33,7,"{6448086109391103019, 8582429748371596960, 8253408943163506062, 6684847946341226096, 3679398471651193825, 7611194324565185380, 2179826646179307198","[[9221385354089969567, 8541029390990751634, 8142259892654950760, 8815450143681192850, 8091214797196541873, 6660353411031634555, 3166484250941755154],[8748414767376166423, 2569716603268526273, 7817175058054752250, 2542387587572873051, 3284387960117379810, 6263236528490443817, 9150408566365929024],[8121864553503965829, 2978197586692149710, 2762588016930649372, 1814564652503310816, 5460005042607961256, 7754884200482415981, 8802475893231360712],[8658976192465715098, 489494289005119741, 7445110519157620001, 6752092354958020946, 6495592698534930857, 2697264386961124794, 7313282487799721419],[1910291725999615898, 57509422113616618, 7112391025029222882, 7616167994690412507, 5634417621909418035, 8292751574936008143, 2548966455112894684],[2965354172484839518, 1065873131488584565, 7729691100467529131, 8966645155854431318, 4595716090452211847, 2174792731504688340, 8117643732479726642],[8627222623073736507, 8310287998563592849, 2062326701177842493, 4027177984370521944, 6536379692258814053, 1565973887542508495, 1145389257810061038]]","[[8458351359009812054, 333291683643136581, 13420590166302679, 6008873664742554219, 4468448431275983933, 950541872001403687, 3359221020322637096],[4906445186412791429, 1543794918699087796, 7410388102782805152, 5284615410939178228, 476505331917214992, 6823277171579593950, 304988800902845795],[6269674620058286444, 9203618141300153011, 8311582410688089777, 3930303133156961864, 5295737315229145988, 3952331552395614462, 2810875016996490916],[7851649243407212988, 7715683129497377066, 119958300380463249, 7605527376496546627, 6871684364556496594, 5176416032515628355, 5779372916733320598],[2421009238057517087, 8873331556843806982, 618235775403658977, 4912078832521834052, 7626588720041702488, 6393728560924050175, 6003842187830114729],[589899204072862807, 8718969398509387556, 789980732268185748, 2070758311531372727, 6901565631967057195, 8313963368618790464, 1794632051430996395],[8914519815341357330, 1873720395147213114, 530167332031236513, 2014988589805366119, 5815523527119798567, 5285764749773149879, 6153624909489678926]]"
values_15,3,"{5079735567033784380, 1082844881448146947, 7858341645211307709","[[3414106122492220884, 7206299987949333193, 2287993322266119113],[3465326605206640405, 2435944203372766665, 8122167592945336773],[7287224917116020511, 608075397708428653, 4158530931522750338]]","[[3194343552590536692, 2780381464031835155, 6707528859059980528],[5914591727036973817, 2779944866482078863, 6250503989714982870],[1696702393270938786, 4056579664894092646, 8983572534347822822]]"
values_93,4,"{7559313612371860430, 6816135664460232172, 5878443890265145104, 445605810605201038","[[2929438392765136681, 2971277905832762027, 3051842789980298518, 9152290441090997985],[924881627691396206, 5032775860682825573, 747679402058988528, 1022630573074249389],[7793916773238199455, 4394444341677784925, 1255760920029882547, 588694984341836267],[8178032407114059047, 4541961277544394996, 3190871998606510736, 3606000378426928953]]","[[9099077549434246403, 7863748906906979973, 7873178435872296027, 7413716901655070404],[8452249328627941510, 8021470490848348152, 3960651072705936417, 7369470935489507419],[405424833217190036, 1587063709426057466, 2636729936796795755, 7206606899381751647],[1714553245492423348, 9134154690908673140, 7507441170212519738, 7284617996171922748]]"
